year,station_number,url,exists,downloaded,not_zip_file,city
2022,5086,https://www.bast.de/videos/2022/zst5086.zip,True,True,True,cologne
2022,2013,https://www.bast.de/videos/2022/zst2013.zip,True,True,False,berlin
2022,2012,https://www.bast.de/videos/2022/zst2012.zip,True,True,False,berlin
2022,3615,https://www.bast.de/videos/2022/zst3615.zip,True,True,True,berlin
2022,2010,https://www.bast.de/videos/2022/zst2010.zip,True,True,False,berlin
2022,2011,https://www.bast.de/videos/2022/zst2011.zip,True,True,True,berlin
2022,2008,https://www.bast.de/videos/2022/zst2008.zip,True,True,False,berlin
2022,3631,https://www.bast.de/videos/2022/zst3631.zip,True,True,True,berlin
2022,2006,https://www.bast.de/videos/2022/zst2006.zip,True,True,False,berlin
2022,2004,https://www.bast.de/videos/2022/zst2004.zip,True,True,True,berlin
2022,2005,https://www.bast.de/videos/2022/zst2005.zip,True,True,True,berlin
2022,2003,https://www.bast.de/videos/2022/zst2003.zip,True,True,True,berlin
2022,2014,https://www.bast.de/videos/2022/zst2014.zip,True,True,False,berlin
2022,5090,https://www.bast.de/videos/2022/zst5090.zip,True,True,False,duesseldorf
2022,5089,https://www.bast.de/videos/2022/zst5089.zip,True,True,True,cologne
2022,5670,https://www.bast.de/videos/2022/zst5670.zip,True,True,False,duesseldorf
2022,5014,https://www.bast.de/videos/2022/zst5014.zip,True,True,False,duesseldorf
2022,5030,https://www.bast.de/videos/2022/zst5030.zip,True,True,False,duesseldorf
2022,5601,https://www.bast.de/videos/2022/zst5601.zip,True,True,False,duesseldorf
2022,5027,https://www.bast.de/videos/2022/zst5027.zip,True,True,False,duesseldorf
2022,5674,https://www.bast.de/videos/2022/zst5674.zip,True,True,True,cologne
2022,5061,https://www.bast.de/videos/2022/zst5061.zip,True,True,True,duesseldorf
2022,5040,https://www.bast.de/videos/2022/zst5040.zip,True,True,True,duesseldorf
2022,5097,https://www.bast.de/videos/2022/zst5097.zip,True,True,True,duesseldorf
2022,5686,https://www.bast.de/videos/2022/zst5686.zip,True,True,True,duesseldorf
2022,3606,https://www.bast.de/videos/2022/zst3606.zip,True,True,True,berlin
